key,level,type,category,fullname,publisher,url
jvcir,C,Journal,7,Journal of Visual Communication and Image Representation,Elsevier,http://dblp.uni-trier.de/db/journals/jvcir/
ms,C,Journal,7,Multimedia Systems,Springer,http://dblp.uni-trier.de/db/journals/mms/
mta,C,Journal,7,Multimedia Tools and Applications,Springer,http://dblp.uni-trier.de/db/journals/mta/
sigpro,C,Journal,7,Signal Processing,Elsevier,http://dblp.uni-trier.de/db/journals/sigpro/
spic,C,Journal,7,Signal Processing: Image Communication,Elsevier,http://dblp.uni-trier.de/db/journals/spic/
tvc,C,Journal,7,The Visual Computer,Springer,http://dblp.uni-trier.de/db/journals/vc/
cvmj,C,Journal,7,Computational Visual Media,Tsinghua University;Springer,https://dblp.org/db/journals/cvm/index.html
acmmm,A,Conference,7,ACM International Conference on Multimedia,ACM,http://dblp.uni-trier.de/db/conf/mm/
siggraph,A,Conference,7,ACM SIGGRAPH Annual Conference,ACM,http://dblp.uni-trier.de/db/conf/siggraph/index.html
vr,A,Conference,7,IEEE Virtual Reality,IEEE,http://dblp.uni-trier.de/db/conf/vr/
ieeevis,A,Conference,7,IEEE Visualization Conference,IEEE,http://dblp.uni-trier.de/db/conf/visualization/index.html
icmr,B,Conference,7,ACM SIGMM International Conference on Multimedia Retrieval,ACM,http://dblp.uni-trier.de/db/conf/mir/
si3d,B,Conference,7,ACM Symposium on Interactive 3D Graphics,ACM,http://dblp.uni-trier.de/db/conf/si3d/
sca,B,Conference,7,ACM/Eurographics Symposium on Computer Animation,ACM,http://dblp.uni-trier.de/db/conf/sca/index.html
dcc,B,Conference,7,Data Compression Conference,IEEE,http://dblp.uni-trier.de/db/conf/dcc/
eg,B,Conference,7,Eurographics,Wiley/ Blackwell,http://dblp.uni-trier.de/db/conf/eurographics/
eurovis,B,Conference,7,Eurographics Conference on Visualization,ACM,http://dblp.uni-trier.de/db/conf/vissym/
sgp,B,Conference,7,Eurographics Symposium on Geometry Processing,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/sgp/
egsr,B,Conference,7,Eurographics Symposium on Rendering,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/rt/
icassp,B,Conference,7,"IEEE International Conference on Acoustics, Speech and SP",IEEE,http://dblp.uni-trier.de/db/conf/icassp/
icme,B,Conference,7,IEEE International Conference on Multimedia & Expo,IEEE,http://dblp.uni-trier.de/db/conf/icmcs/
ismar,B,Conference,7,International Symposium on Mixed and Augmented Reality,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ismar/
pg,B,Conference,7,Pacific Graphics: The Pacific Conference on Computer Graphics and Applications,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/pg/index.html
spm,B,Conference,7,Symposium on Solid and Physical Modeling,SMA/Elsevier,http://dblp.uni-trier.de/db/conf/sma/
miccai,B,Conference,7,International Conference on Medical Image Computing and Computer-assisted Intervention,Springer,https://dblp.org/db/conf/miccai/index.html
vrst,C,Conference,7,ACM Symposium on Virtual Reality Software and Technology,ACM,http://dblp2.uni-trier.de/db/conf/vrst/
casa,C,Conference,7,Computer Animation and Social Agents,Wiley,http://dblp.uni-trier.de/db/conf/ca/
cgi,C,Conference,7,Computer Graphics International,Springer,http://dblp.uni-trier.de/db/conf/cgi/
interspeech,C,Conference,7,Conference of the International Speech Communication Association, ,http://dblp.uni-trier.de/db/conf/interspeech/index.html
gmp,C,Conference,7,Geometric Modeling and Processing,Elsevier,http://dblp.uni-trier.de/db/conf/gmp/
pacificvis,C,Conference,7,IEEE Pacific Visualization Symposium,IEEE,http://dblp.uni-trier.de/db/conf/apvis/
3dv,C,Conference,7,International Conference on 3D Vision,IEEE,https://dblp.uni-trier.de/db/conf/3dim/
cadgraphics,C,Conference,7,International Conference on Computer-Aided Design and Computer Graphics,IEEE,https://dblp.uni-trier.de/db/conf/cadgraphics/
icip,C,Conference,7,International Conference on Image Processing,IEEE,http://dblp.uni-trier.de/db/conf/icip/
mmm,C,Conference,7,International Conference on Multimedia Modeling,Springer,http://dblp.uni-trier.de/db/conf/mmm/index.html
pcm,C,Conference,7,Pacific-Rim Conference on Multimedia,Springer,http://dblp.uni-trier.de/db/conf/pcm/
smi,C,Conference,7,Shape Modeling International,IEEE,http://dblp.uni-trier.de/db/conf/smi/
icvrv,C,Conference,7,International Conference an Virtual Reality and Visualization,IEEE,https://www.computer.org/csdl/proceedings/1800579
cvm,C,Conference,7,Computational Visual Media,Tsinghua University,https://dblp.org/db/conf/cvm/index.html
prcv,C,Conference,7,Chinese Conference on Pattern Recognition and Computer Vision,Springer,https://dblp.org/db/conf/prcv/index.html
ai,A,Journal,8,Artificial Intelligence,Elsevier,http://dblp.uni-trier.de/db/journals/ai/
tpami,A,Journal,8,IEEE Trans on Pattern Analysis and Machine Intelligence,IEEE,http://dblp.uni-trier.de/db/journals/pami/
ijcv,A,Journal,8,International Journal of Computer Vision,Springer,http://dblp.uni-trier.de/db/journals/ijcv/
