key,level,type,category,fullname,publisher,url
mobiquitous,C,Conference,9,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",Springer,http://dblp.uni-trier.de/db/conf/mobiquitous/
avi,C,Conference,9,International Working Conference on Advanced Visual Interfaces,ACM,http://dblp.uni-trier.de/db/conf/avi/
jacm,A ,Journal,10,Journal of the ACM,ACM,http://dblp.uni-trier.de/db/journals/jacm/
procieee,A ,Journal,10,Proceedings of the IEEE,IEEE,http://dblp.uni-trier.de/db/journals/pieee/
chinaf,A,Journal,10,Science China Information Sciences,Science in China Press/Springer,http://dblp.uni-trier.de/db/journals/chinaf/
bioinformatics,B,Journal,10,Bioinformatics,Oxford University Press,http://dblp.uni-trier.de/db/journals/bioinformatics/
bib,B,Journal,10,Briefings in Bioinformatics,Oxford University Press,http://dblp.uni-trier.de/db/journals/bib/
cognition,B,Journal,10,Cognition：International Journal of Cognitive Science,Elsevier,http://www.journals.elsevier.com/cognition/
tasae,B,Journal,10,IEEE Transactions on Automation Science and Engineering,IEEE,http://dblp.uni-trier.de/db/journals/tase/
tgars,B,Journal,10,IEEE Transactions on Geoscience and Remote Sensing,IEEE,http://dblp.uni-trier.de/db/journals/tgrs/
tits,B,Journal,10,IEEE Transactions on Intelligent Transportation Systems,IEEE,http://dblp.uni-trier.de/db/journals/tits/
tmi,B,Journal,10,IEEE Transactions on Medical Imaging,IEEE,http://dblp.uni-trier.de/db/journals/tmi/
tr,B,Journal,10,IEEE Transactions on Robotics,IEEE,http://dblp.uni-trier.de/db/journals/trob/
tcbb,B,Journal,10,IEEE-ACM Transactions on Computational Biology and Bioinformatics,IEEE/ACM,http://dblp.uni-trier.de/db/journals/tcbb/
jcst,B,Journal,10,Journal of Computer Science and Technology,SCIENCE PRESS/Springer,http://dblp.uni-trier.de/db/journals/jcst/
jamia,B,Journal,10,Journal of the American Medical Informatics Association,BMJ Journals,http://dblp.uni-trier.de/db/journals/jamia/
ploscb,B,Journal,10,PLOS Computational Biology,Public Library of Science,http://dblp.uni-trier.de/db/journals/ploscb/
cj,B,Journal,10,The Computer Journal,Oxford University Press,http://dblp.uni-trier.de/db/journals/cj/
wwwj,B,Journal,10,World Wide Web Journal,Springer,https://www.springer.com/journal/11280
fcs,B,Journal,10,Frontiers of Computer Science,Higher Education Press,http://dblp.uni-trier.de/db/journals/fcsc/
bmcbi,C,Journal,10,BMC Bioinformatics,BioMed Central,http://dblp.uni-trier.de/db/journals/bmcbi/
cas,C,Journal,10,Cybernetics and Systems,Taylor & Francis,http://dblp.uni-trier.de/db/journals/cas/
lgrs,C,Journal,10,IEEE Geoscience and Remote Sensing Letters,IEEE,http://dblp.uni-trier.de/db/journals/lgrs/
jbhi,C,Journal,10,IEEE Journal of Biomedical and Health Informatics,IEEE,http://dblp.uni-trier.de/db/journals/titb/
tbd,C,Journal,10,IEEE Transactions on Big Data,IEEE,https://dblp.uni-trier.de/db/journals/tbd/
ietits,C,Journal,10,IET Intelligent Transport Systems,IET,http://digital-library.theiet.org/content/journals/iet-its
jbi,C,Journal,10,Journal of Biomedical Informatics,Elsevier,https://dblp.uni-trier.de/db/journals/jbi/
mia,C,Journal,10,Medical Image Analysis,Elsevier,http://dblp.uni-trier.de/db/journals/mia/
tii,C,Journal,10,IEEE Transactions on Industrial Informatics,IEEE,https://dblp.org/db/journals/tii/index.html
tcps,C,Journal,10,ACM Transactions on Cyber-Physical Systems,ACM,https://dblp.org/db/journals/tcps/index.html
joce,C,Journal,10,ACM Transactions on Computing Education,ACM,https://dblp.org/db/journals/jeric/index.html
fitee,C,Journal,10,Frontiers of Information Technology and Electronic Engineering,Springer,https://dblp.org/db/journals/jzusc/index.html
tcss,C,Journal,10,IEEE Transactions on Computational Social Systems,IEEE,https://dblp.org/db/journals/tcss/index.html
trelia,C,Journal,10,IEEE Transactions on Reliability,IEEE,https://dblp.org/db/journals/tr/index.html
www,A,Conference,10,International World Wide Web Conferences,ACM,http://dblp.uni-trier.de/db/conf/www/
rtss,A,Conference,10,Real-Time Systems Symposium,IEEE,http://dblp.uni-trier.de/db/conf/rtss/
wine,A,Conference,10,Conference on Web and Internet Economics,Springer,https://dblp.org/db/conf/wine/index.html
cogsci,B,Conference,10,Cognitive Science Society Annual Conference,Psychology Press,https://dblp.uni-trier.de/db/conf/cogsci/
bibm,B,Conference,10,IEEE International Conference on Bioinformatics and Biomedicine,IEEE,http://dblp.uni-trier.de/db/conf/bibm/
emsoft,B,Conference,10,International Conference on Embedded Software,ACM/IEEE/IFIP,http://dblp.uni-trier.de/db/conf/emsoft/
ismb,B,Conference,10,International conference on Intelligent Systems for Molecular Biology,Oxford Journals,http://www.iscb.org/about-ismb
recomb,B,Conference,10,International Conference on Research in Computational Molecular Biology,Springer,http://dblp.uni-trier.de/db/conf/recomb/
amia,C,Conference,10,American Medical Informatics Association Annual Symposium,AMIA,http://dblp.uni-trier.de/db/conf/amia/
apbc,C,Conference,10,Asia Pacific Bioinformatics Conference,BioMed Central,http://dblp.uni-trier.de/db/conf/apbc/
bigdataconf,C,Conference,10,IEEE International Conference on Big Data,IEEE,https://dblp.uni-trier.de/db/conf/bigdataconf/
ieeecloud,C,Conference,10,IEEE International Conference on Cloud Computing,IEEE,http://dblp.uni-trier.de/db/conf/IEEEcloud/
smc,C,Conference,10,"IEEE International Conference on Systems, Man, and Cybernetics",IEEE,https://dblp.uni-trier.de/db/conf/smc/
cosit,C,Conference,10,International Conference on Spatial Information Theory,ACM,http://dblp.uni-trier.de/db/conf/cosit/
isbra,C,Conference,10,International Symposium on Bioinformatics Research and Applications,Springer,https://dblp.uni-trier.de/db/conf/isbra/
sagt,C,Conference,10,International Symposium on Algorithmic Game Theory,Springer,https://dblp.org/db/conf/sagt/index.html
sigspatial,C,Conference,10,ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,ACM,https://dblp.org/db/journals/sigspatial/index.html
icic,C,Conference,10,Internet Conference on Intelligent Computing,Springer-Nature,https://dblp.org/db/conf/icic/index.html
